time_day,il6_pgmL
0.1, 2002.6
0.4, 1441.2
0.5, 719.7
0.2, 669.0
0.2, 499.4
0.5, 401.0
0.4, 278.3
0.2, 288.6
0.2, 223.5
0.5, 215.4
0.2, 179.5
0.2, 149.5
0.2, 100.0
0.2, 80.3
0.4, 89.6
0.4, 74.6
0.2, 55.7
0.4, 55.7
0.4, 44.8
0.2, 43.1
0.2, 26.8
0.4, 29.9
0.2, 20.8
1.0, 38.7
1.0, 32.2
1.0, 107.6
1.0, 83.3
1.0, 12.9
1.0, 12.0
0.5, 11.6
0.2, 10.8
1.9, 160.8
1.9, 62.2
1.9, 31.1
1.9, 27.8
2.0, 20.8
7.0, 386.6
7.0, 179.5
7.2, 93.0
7.2, 80.3
7.0, 83.3
7.0, 55.7
7.0, 46.4
7.0, 40.1
7.0, 26.8
7.0, 24.0
7.5, 20.8
7.5, 10.0
8.0, 100.0
8.0, 66.9
8.0, 41.6
8.0, 26.8
14.0, 77.4
14.0, 59.9
14.0, 46.4
14.0, 37.3
14.0, 29.9
14.0, 24.9
15.0, 46.4
15.0, 37.3
15.0, 31.1
15.0, 23.2
16.0, 49.9
16.0, 35.9
16.0, 24.9
16.0, 20.0
